Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF/50V/20%/X5R/C0805","C_0805_2012Metric",89.2000,-84.5000,90.0000,top
"C2","0.1uF/50V/20%/X5R/C0805","C_0805_2012Metric",103.0000,-57.9000,90.0000,top
"C3","0.1uF/50V/20%/X5R/C0805","C_0805_2012Metric",104.3000,-85.5000,0.0000,top
"D1","LED_RED","LED_0805_2012Metric",114.5000,-75.0000,270.0000,top
"D2","LED_GREEN","LED_0805_2012Metric",114.5000,-83.4000,270.0000,top
"D3","SM6T12A","D_SMB",122.8000,-70.5000,180.0000,top
"D4","LED_GREEN","LED_0805_2012Metric",114.4000,-40.5000,270.0000,top
"J1","Conn_01x19","PinSocket_1x19_P2.54mm_Vertical",84.6000,-40.0000,0.0000,top
"J2","Conn_01x19","PinSocket_1x19_P2.54mm_Vertical",110.0000,-40.0000,0.0000,top
"J3","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",125.3000,-42.3500,180.0000,top
"K1","HF32F-G/005-HS","HF32F-G",118.8500,-66.1000,90.0000,top
"Q1","BC817","SOT-23",101.9000,-40.8000,0.0000,top
"Q2","BC817","SOT-23",104.2000,-66.7000,0.0000,top
"R1","523R/20%/R0805","R_0805_2012Metric",104.3000,-75.3000,0.0000,top
"R2","523R/20%/R0805","R_0805_2012Metric",104.3000,-78.7000,0.0000,top
"R3","10K/10%/R0805","R_0805_2012Metric",104.3000,-82.2000,0.0000,top
"R4","10K/10%/R0805","R_0805_2012Metric",105.6000,-47.2000,270.0000,top
"R5","10K/10%/R0805","R_0805_2012Metric",105.5500,-53.5250,90.0000,top
"R6","10K/10%/R0805","R_0805_2012Metric",95.8125,-48.4000,0.0000,top
"R7","1K/10%/R0805","R_0805_2012Metric",98.1000,-62.3000,180.0000,top
"R8","1K/10%/R0805","R_0805_2012Metric",97.3000,-40.8000,270.0000,top
"R9","10K/10%/R0805","R_0805_2012Metric",98.1000,-65.7000,180.0000,top
"R10","523R/20%/R0805","R_0805_2012Metric",101.8000,-44.7000,0.0000,top
"SW1","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",122.4500,-81.2000,90.0000,top
"U1","74LVC1G79","SOT-23-5",98.1000,-58.0000,270.0000,top
